"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a/ACg8ocI_yNVLZKXPmObsBvL3vVaosSNVhwscq8ZsWyXFja5k=w54-h54-p-rp-mo-br100","Yash Singh","7 reviews","","","7 years ago","One of the best institute in india, techno hub, Try to go there at least once in your college life if you are an engg undergrad","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUkt2nHFEgClhsXgdVvqJcE_Ijce4ZeYSY2EF266ne8KDfU=w54-h54-p-rp-mo-ba2-br100","Arsheed Parray","Local Guide · 15 reviews · 8 photos","","","a year ago","Great institute,has created many successful people .","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZch7-xSETUitxKz7G2Og7EOL-7YBjBix3nMJSd391HCI=w54-h54-p-rp-mo-ba3-br100","Salil Raj Aryal","Local Guide · 57 reviews · 47 photos","","","3 years ago","Best university of India","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUb9b7OA72F95d2bIExubhtRGJ8KYJD6l_w32DlZZuXxIc=w54-h54-p-rp-mo-ba3-br100","Naveen Kumar (Nvee)","Local Guide · 98 reviews · 8 photos","","","6 years ago","A one institute for both studying and extra curricular activities having world class rating for educational purposes and also have mind-blowing campus and facility..","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKQMQzUqJCIpoDHtQQqmwNuiSZpSzOURjvyRU0asi6x=w54-h54-p-rp-mo-br100","Poornima Pandu","3 reviews","","","5 months ago","It’s a fabulous place to visit .","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ6OVEO2OOrLYsVRBK-u4z_tTKdERvN9nys1tIa5OqEQQ=w54-h54-p-rp-mo-ba4-br100","Krrish ErRoRgenious05z","Local Guide · 20 reviews · 207 photos","","","a year ago","Most expensive place. I enjoy their environment, but not as much a student.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX7gaaLDFiK9oQY7tqxaen51J76mqObvPWPF6Ph3zghmow=w54-h54-p-rp-mo-ba4-br100","Ankit Kumar","Local Guide · 101 reviews · 53 photos","","","a year ago","Good but need hardwork for coming here","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXQbKe2xLJWT61KQk0YioA2WcsUJidFXbDZmih24UYYFJaP=w54-h54-p-rp-mo-ba5-br100","Puli kameshwar Rao","Local Guide · 223 reviews · 567 photos","","","6 years ago","“The Indian Institute of Technology Bombay” is a public engineering institution located at Powai, Mumbai, India. It is the second-oldest institute of the Indian Institutes of Technology system. IIT Bombay was founded in 1958. In 1961, the is the most reputed IIT college in India 🇮🇳 …","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWIlMeQ3YgMaMtgLYpDVb1gXIr1Wpmeq9VUBKEUWTE2FZQ=w54-h54-p-rp-mo-ba4-br100","Sumeru Nayak","Local Guide · 78 reviews · 124 photos","","","7 years ago","Awesome campus... Even more so when you're on the verge of leaving it... It was really an awesome stay in a beaitiful atmosphere","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU8ns_jv-CYnCQy6khQrhtPBQQjq5mmHCg32zQrLB7T3d0q=w54-h54-p-rp-mo-ba6-br100","Dr Anand Vibhute","Local Guide · 199 reviews · 2,751 photos","","","7 years ago","The Indian Institute of Technology Bombay is a public engineering and research institution located in Powai, Mumbai, India. In the QS World University Rankings 2014, IIT Bombay was ranked as India’s top university.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIe4GHbn3QEAjS4jR8BcN7FuYHxEwo_wetjwtm0Y8cg=w54-h54-p-rp-mo-br100","Alexander Hamilton XV","1 review","","","5 years ago","Great institute for engineering  ,
But the major downfalls are not good hostels,  no good food, less experienced keepers, …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXPlJvDh3-5dNfsMerCz8ECvtpAjNOpa640Gy4-Kw4S5QVB=w54-h54-p-rp-mo-ba8-br100","Ashwin Prabhu","Local Guide · 654 reviews · 16,806 photos","","","7 years ago","Best IIT in the suburb that actually has a lot of potential.Great minds. Really challenging to get into this one specially for Mechanical Engineering.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWIUEVaypqmy7JLGq31OWXUv-KW6eU6GH94gWOrvU_lvpqS=w54-h54-p-rp-mo-ba3-br100","Ayush Patel","Local Guide · 25 reviews · 85 photos","","","7 years ago","One of the best institutes in India for engineering. Though it would make it even better if they add direction boards.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW9gIFhKEsfx5cvHP9N6_8XYgLxl3gMOW_euTRc7EP5PQ=w54-h54-p-rp-mo-ba2-br100","Sathish Kumar","Local Guide · 6 reviews · 1 photo","","","4 months ago","Spent my childhood in IIT Bombay","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVWLAqMFaZFVxQSpvRj1U3dzlg1AqrX_RipXuHHQUTKA0a-=w54-h54-p-rp-mo-ba5-br100","Sanchay Kulkarni","Local Guide · 174 reviews · 576 photos","","","7 years ago","Premier institute established by Govt of India. Top quality education, and beautifully maintained campus.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVM1vJv9CMtjvbDPocW3hKB7pR2sJHuZDK6sSbHl9mvO_oU=w54-h54-p-rp-mo-ba5-br100","Kalyan Singh","Local Guide · 202 reviews · 121 photos","","","7 years ago","Best IIT to do M.Sc course in India","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJkSg0cFfLCBZ84yOOGeyODN3lGNQaVWYJl7863h_mS=w54-h54-p-rp-mo-br100","Twilight Elite!","1 review","","","7 years ago","My father sent me here ... Beta Jao atse se pado, I said okay dady i will do my best.
But where? Just wasted my parents finance ..... Doing nothing ...
So for bad english. In Engineer not teaching english that is why bad english.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIzrrV6XDdCumE4m02IcCeHpftUsM1Su_krj0W7a_yv=w54-h54-p-rp-mo-ba4-br100","Shubham Jain","Local Guide · 109 reviews · 15 photos","","","6 years ago","The name is enough IIT BOMBAY... Fully loaded... Best of best education provided...Great placement activities like Google, apple, Facebook,kirloskar n many more...","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVCn4V40_SgPRNp54NYpJskb6C8BEeilywHhAzH0rtSfFg=w54-h54-p-rp-mo-ba3-br100","Mukul Goel","Local Guide · 32 reviews · 48 photos","","","7 years ago","Best place to be in Mumbai, Greenery is awesome. You will find a temperature difference ranges 2-4 degree lesser then rest of mumbai","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU-3EukKB6U5iyDZ5WuYhWWPeglMz0V35bufIVgIqOoo_Ed=w54-h54-p-rp-mo-ba2-br100","Unmesh Khati","Local Guide · 14 reviews · 2 photos","","","6 years ago","Great institute of technical education. Among the top engineering institutes in the world and the best in India","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocL6fhJN_uEbtPMz8piQtO4pecxWGFzbqMG5ZURuLIKF=w54-h54-p-rp-mo-br100","Nitin Kumar","1 review","","","a week ago","Beautiful campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjViohqCF0dbLNr28NAy3K9-pVJe5w5NWrkjLHW2yJ7YCw=w54-h54-p-rp-mo-br100","Mayank ojha","10 reviews · 1 photo","","","a year ago","The place and the people's are good.","","0:06","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU5zX6wsZaXVdWGW9OQHYcFyMyvGnvGMiVmzGZcSTPINUw=w54-h54-p-rp-mo-ba2-br100","Pinaki Chakraborty","Local Guide · 17 reviews","","","a year ago","One of the best institute for studying engineering here","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJFkgo8_dVibwJ15xFC5U_D91wbUIWaeoE-cmohnzJC=w54-h54-p-rp-mo-br100","Billa Rockey","1 review","","","a month ago","Good and neat atmosphere","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVVBLlvVaOF8ZJLfTqTaFMt-4ilLeoQyNb9u64f3fU2LOH4=w54-h54-p-rp-mo-br100","Abhinav Maurya","242 reviews","","","7 years ago","My favorite place on earth. Taught me a lot about Computer Science while allowing me to stay amidst natural beauty at the heart of maximum city.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVU2qCYjscilyzDnPiYpCgzZO1CuL0mB9pxrvylVXPCWFTg=w54-h54-p-rp-mo-ba3-br100","Ravi Bhargava","Local Guide · 40 reviews · 1 photo","","","a year ago","One of the best engineering campus with all the amenities","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJY9D95EsGxCg3AQYj6fywp4ZYLBDjnFFqbbCnm6A8r=w54-h54-p-rp-mo-br100","Arin","2 reviews","","","a year ago","If you are super intelligent go here. If you are super intelligent and rich then go to Harvard or Stanford.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVDtmtkfBRHnK8kSgqFoQYH_bU8bFbvqISL-IHZMyttBTFW=w54-h54-p-rp-mo-br100","Ayesha Anjum","11 reviews","","","a year ago","Great institution with good coching with excellent leading environment","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLxOkiKNoodbfM5Dl83XoLsew4INeajqtk77wFS5LPq=w54-h54-p-rp-mo-ba3-br100","abhishek shrivastav","Local Guide · 48 reviews · 2 photos","","","6 years ago","One of the best IIT campus in India,
Only top 1000 students are admitted in the institution.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXdl1pXYZ2GfsM1oXHcU8ovdrBHzvJYUCWPMnMUHi6Bfco=w54-h54-p-rp-mo-br100","Sai Savithaa Senthilnathan","10 reviews","","","a year ago","Dream come true for many fellow Indians! Load of history embedded in this institute.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVS10E0BCbonSeaF3UtjU3-EzqDbhy7guAhM7pgLoem4A=w54-h54-p-rp-mo-br100","Thakur Travels","4 reviews · 16 photos","","","5 years ago","Thakur Tours & Travels, Powai provides Rent-a-car services, Tour Packages, National Bus Booking facilities and Flight Ticket Booking. We are well-known travel agency in Powai and known for our managed & Customer centric services to our Clients.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXmNVXBwm1wXaSBor9PwgIDZj92HFH3SODfM4609UUwJLg=w54-h54-p-rp-mo-ba3-br100","Siddharth Chaturvedi","Local Guide · 30 reviews · 2 photos","","","3 years ago","Best place only for developing your communication skills, no study here only friendship. Very good and interactive environment.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUwCJYWlFc0MObEbF7VqGb7JBX9xDI7P2v3kfaf6ieXvcfh=w54-h54-p-rp-mo-ba4-br100","Atanu Mardanya","Local Guide · 35 reviews · 132 photos","","","3 years ago","One of the oldest IITs and one of the best colleges in India.....
It's my personal favourite 😊😊 …","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVCEDBW4Ztwf2QEeaNsKpqGhRYQpTlr6N-mElTRqX2rKA=w54-h54-p-rp-mo-ba2-br100","Sourav Saini","Local Guide · 16 reviews","","","8 months ago","Best college of India for Science and technology","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWGSaq_krbkXGP3oMJBGIG8sOgZMAYmTFGwNIqM4xVc2Ag=w54-h54-p-rp-mo-ba5-br100","sujit biswal (Sj)","Local Guide · 62 reviews · 324 photos","","","7 years ago","Nice educational institution 😃 sorry it's one of best educational institution of India. Inside of campus was great iitan's are also enjoy relationship with their studies 😂😂😂 …","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVwn4JYcPO_296fLfYL8ckBLnZkMeQdVsEaGS6mUsy3DDY=w54-h54-p-rp-mo-ba3-br100","anshul patle","Local Guide · 60 reviews · 7 photos","","","7 years ago","The village (place) with international levels of education and ultimate free Wi-Fi..... :)... No pollution and amazing culture with represent India in to the world","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXCrx6rWzlz2unFE_8SEGR7WbUWRwP8oRcxLqC4g5PSmQw=w54-h54-p-rp-mo-br100","Rupesh Kumar","2 reviews · 3 photos","","","2 months ago","It is my dream University","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV1uDJeI5OX15OtopDNAVXEjLkHZY-IZOY7w2Luk6fG1sE=w54-h54-p-rp-mo-ba5-br100","Arvind Pawale","Local Guide · 51 reviews · 799 photos","","","6 years ago","World class college for engineering to make awesome self
By learning with highly qualified faculties and advanced laboratories with well equipped numerous instruments","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWsM9jGN757_VdrrP17xD9W0fr4xpnJUnAvnvWiKy7vOr0=w54-h54-p-rp-mo-ba4-br100","Paankhuri Gupta","Local Guide · 197 reviews · 22 photos","","","6 years ago","Great campus. Can get very lost inside, if meeting someone here please ask them to share specifics of location and map.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUEy3XLzTdEy56Lt8EHRnFrJ2vMLmIMo-GhxHwGhrrmhg=w54-h54-p-rp-mo-ba4-br100","Pritam Nandi","Local Guide · 280 reviews · 2 photos","","","6 years ago","It's best in India. Most influential free and interdisciplinary institute with very good global recognition.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX54YAiWm7weqfeGmIwaI4hFqUqC-5mqDuX07Zdo63hxPI=w54-h54-p-rp-mo-ba4-br100","Adarsh gupta","Local Guide · 48 reviews · 50 photos","","","11 months ago","All india institute of technology of Mumbai near powai","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVpOCfRbMNVgUijyyGsy-2m2DCGdYIaDWChoACiBIWVcjg=w54-h54-p-rp-mo-br100","Sagar Ghosh","3 reviews","","","a year ago","Best teachers, best campus, best atmosphere, best hostels, best food etc... Everything is best here.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKdM5wK2jQshrKQt3yoPRNeIOL-cAS4qYQfaVetdlDW=w54-h54-p-rp-mo-br100","Adiyti Suman","5 reviews · 21 photos","","","a year ago","Love to be with the people around here they are very enthusiastic and awesome got to learn a lot from here.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX7TAU5aiF0pzJQcMQj3Za2WLCT0493PTAne92MB1F-VNo_=w54-h54-p-rp-mo-ba3-br100","Abhishek kumar","Local Guide · 9 reviews · 181 photos","","","a year ago","Getting into IIT and that too in IIT BOMBAY. One of the best places in Mumbai","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVK4QLHvmYZsa8PLVTGygOUrfABEF2r296Fob6kLF_8pCPD=w54-h54-p-rp-mo-ba5-br100","Mayur Desai","Local Guide · 128 reviews · 1,646 photos","","","7 years ago","Best engineering college in India.
Faculty and facility are simply world class","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU25SBv05DLApU81GKgCZ6Y2f_U55pKK6pWZmrQ_HoQ9hS-=w54-h54-p-rp-mo-ba5-br100","Sairaj Sutar","Local Guide · 244 reviews · 94 photos","","","7 years ago","One of the best institute in not only Mumbai but in India also. IIT Mumbai makes it huge difference.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVveqLcAYfgcWUJaw1_XFkKV8q9BrXjgJTCwbQtJdNHBA=w54-h54-p-rp-mo-ba2-br100","Mohit Rakh","Local Guide · 8 reviews · 34 photos","","","9 months ago","I am a student here and It is a very good experience to be here","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXbfuaoYqYdh9O4HkhWQP5J74VtQk9G24SVjQc-aC-8lXw_=w54-h54-p-rp-mo-ba4-br100","Amrin Shaikh","Local Guide · 104 reviews · 12 photos","","","a year ago","Very neat and clean place good institute.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXnp1cmTWAXdLB4dZ2R1ydElv3p3ZrNhgbzwwRHpLG3SiY=w54-h54-p-rp-mo-ba5-br100","Sumit Mene","Local Guide · 289 reviews · 1,356 photos","","","6 years ago","Best engineering college in India. Large campus. Good environment for studies.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXFBtcXO4E4IOJlPTct1HJuZK7qDKYrsTokiLjaHRRCs90u=w54-h54-p-rp-mo-br100","irene john","3 reviews","","","4 months ago","Very gud","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX-BJPAPmepF50v_YTIhLCqu0SB6UR_rQeCkpXR_kuTmM8m=w54-h54-p-rp-mo-ba5-br100","PRITAM SINGH CHANDEL","Local Guide · 101 reviews · 356 photos","","","a year ago","'' IIT Bombay - One of the best prestigeous College across the world ''
❣️🇮🇳❣️ …","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUBWW2s3Ak71HifT-q5SfIlBl-RJSjqzApxWLShReDXyzM=w54-h54-p-rp-mo-br100","Himanshu solanki","4 reviews · 16 photos","","","5 years ago","Ok ok campus, not very clean, hostel are very poorly maintained, no proper guest room for guets, doesn't enjoy my stay.","","","","","Like","28","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWW5QEtc7pAkftamG8pTcEFGdYlAJd6E9Gxt9TNw-IviA=w54-h54-p-rp-mo-ba4-br100","Dinesh Pandit","Local Guide · 88 reviews · 48 photos","","","6 years ago","It was my dream to study here.
Big infrastructure and large campus
Mood indigo is awesome fest of IITM","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJUceP-WhXl0It3x-ytla8eBnj2MPQYbqw5CI7UWaWx=w54-h54-p-rp-mo-br100","Leena Gondhalekar","2 reviews","","","5 years ago","Myself shashwat gondhalekar . My dream is to acquire civil engineering from this college and for this i have taken 1 year drop and overconfidently i will fulfill my dream with hole  power.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWKpru3zOyu_P4vsWEnmqvUglhDu54xyFYJ_UujoUrQQFk=w54-h54-p-rp-mo-ba3-br100","Dev Sharma","Local Guide · 7 reviews · 41 photos","","","3 weeks ago","This is my dream collage","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVxl6_4Thw2ZfsSKIGCuDjJ9gkCQfVD-oO_xvYArZEkasU=w54-h54-p-rp-mo-br100","Akshay meena","5 reviews","","","a year ago","One of the best tech school in one of the best city of India.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKRfFw1BeLvlTIakE7Fyzl9YnM2igAUeTYgMELvqiii=w54-h54-p-rp-mo-br100","julie thakur","4 reviews","","","a year ago","I had a greater experience with them as a educational University.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXjLneO7OY1WtJY2T_eMegZ4OgenH-56tIMWEB3yCysYA=w54-h54-p-rp-mo-br100","Kiran Sakhare","19 reviews","","","a year ago","Best institute for Engineering with a good campus...","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU3008mwP5fF5NL_GdAL506v-UbzT2OWp14StXYcS1AsTig=w54-h54-p-rp-mo-ba3-br100","Mugdha A","Local Guide · 26 reviews · 10 photos","","","7 years ago","Best academic institution with great faculty members, students and alumni....also has a lake, forest and hills","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJxzvkeLd7tzM4a2_kfQiL3vXcPpRPRM2mLqgcdeb5N=w54-h54-p-rp-mo-br100","HS PERFECT","1 review","","","6 years ago","One of best institute for technology in the world. Students have bright future those are gone through this institute","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVzXHIs_bxFciGOeNuOJvDMyJPbeu99tPEVdq3omnUdU1I=w54-h54-p-rp-mo-ba5-br100","Haresh Shah","Local Guide · 358 reviews · 1 photo","","","a year ago","Best Engineering institute of India and one of the best in world.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKtG-WUZ86s6qv2w4bZzl5A2qGjKygLb33l3o-SRQ4jBLc=w54-h54-p-rp-mo-ba6-br100","Prateexit","Local Guide · 534 reviews · 1,226 photos","","","7 years ago","Home is where the heart is.
Will miss you, my dear insti.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKc166ejhH9qgkRxJedEZ4Px8mxwQ8mdtwO7JHfQss8=w54-h54-p-rp-mo-br100","Yatharth Satija","1 review","","","a year ago","I am in 9th class , and my aim is iitb , my life!!
I will study hard and one day , i will be there","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUCF706p_JuL-HbV4puhdWtqdJJiFJbQ3ZHLbqNFhPise8=w54-h54-p-rp-mo-br100","Shruti Jain","13 reviews","","","a year ago","The campus is amazing education is also very good","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWU38RwT8tKlBW_lLRRcTEcC1J11gZpNjdbnvkdhaLXy3rI=w54-h54-p-rp-mo-ba4-br100","Usama Syed-0768","Local Guide · 78 reviews · 102 photos","","","6 years ago","The top engineering college in India..located in the vicinity of powai lake in Mumbai..with 500 acre campus..","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXyMKdllRl9OoXjm0TTqrrtVV1kPQCLsGCCt4_ZwqzzIQ=w54-h54-p-rp-mo-br100","DR. VISHNU KUMAR KHANDELWAL","3 reviews · 5 photos","","","3 weeks ago","It was a nice collagw","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWsyz-oRwvDrHcRijjEyuCvcyhVpE7QYGhhn6A6ErM-ADIx=w54-h54-p-rp-mo-ba3-br100","shubham Vaishya","Local Guide · 33 reviews · 92 photos","","","3 years ago","The Best Institute.Mood Indigo is the best cultural festival held in all year.","","","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU-b2UVuwV4iwlZsnuePxAiTckCXD7DbjgrYhKlr6ps6sA=w54-h54-p-rp-mo-ba3-br100","danish manzar","Local Guide · 21 reviews · 14 photos","","","a year ago","Spent one of the best time in this place!","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVaDSCQ1LkQ_TNgEdV3aDN3-N9RP7bEuccGR3lXumta4gZy=w54-h54-p-rp-mo-ba4-br100","Kautilya boga","Local Guide · 150 reviews · 171 photos","","","7 years ago","IIT Campus is one of the most best experienced campus with good infrastructure and  high ended facilities.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWKNoa1hkgyG7IW_9Z7rBiuPvZWr_p8d9h7Kfz9kRBEJQ=w54-h54-p-rp-mo-ba5-br100","Sandeep Kumawat","Local Guide · 149 reviews · 599 photos","","","6 years ago","World class service available for students ,here you get every facilities which is necessary for students, here environment is beautiful and eco-friendly","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV-BLxXaoEJFrmjt_tCkublMB879-Ezd-0LiC2itZ2V1A=w54-h54-p-rp-mo-br100","Aryan Raj","14 reviews","","","a year ago","Best institute. Environment is very good.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUOmGY_tZMvQvzXAzf0d-uroerzcn6UNtNbcpNWVUZ7TnY=w54-h54-p-rp-mo-ba3-br100","Amit Chavda","Local Guide · 20 reviews · 88 photos","","","7 years ago","India's the best institute for studying....... But I sew it and round... I am so missing my those days....","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVnRs_e3E715r_F_MYcARFd2d4NeeplXoIIChVTVnyzfec=w54-h54-p-rp-mo-ba4-br100","Ashwin K","Local Guide · 108 reviews · 29 photos","","","3 years ago","Best institute of India. 2 years here changed my life.
Everything is best here.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLTd7p0CiWazASjopwR5t2xnUzra4rZkRg8ZD3zmyKU=w54-h54-p-rp-mo-ba2-br100","RAVI KUMAR SINGH","Local Guide · 15 reviews","","","a year ago","Every student's dream. Best teachers and Best placements","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVnTezitfdv3DAzonUdECbqTZnxjP7FGjcB68ndFomKX7w=w54-h54-p-rp-mo-ba3-br100","Milan Nakum","Local Guide · 41 reviews · 32 photos","","","6 years ago","If there would be option of 10★ then i will surely give it 10, the reason is u have to visit it once. Especially at time of TECHFEST.
This is a huge place & platform for engineering & technology","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWsC_1vzCpM2VQeCDv4pDikaE1V_z7rbMKumlYRncVWyw=w54-h54-p-rp-mo-br100","Amir Sayyad","66 reviews · 25 photos","","","a year ago","Nice institute ever in maharashtra,india","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0QKerjbHi8MP67n5aexHwgysHzyyhO98famAk-ql5JYY=w54-h54-p-rp-mo-br100","subhas tamang","7 reviews","","","a year ago","Very good institute with good campus and cafeteria","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUHE2C_T6kq54bPyDuSOTmMQIom1EO36CtoKtj_eqrx3w=w54-h54-p-rp-mo-ba3-br100","Rohit Kumar Singh","Local Guide · 28 reviews · 53 photos","","","a year ago","You can't explore this campus with in 4,5 years You must visit it","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0YTLyB0xVZR2SPaPBrxpC2GqOHiYqAchJX9zSNY-oceA=w54-h54-p-rp-mo-ba4-br100","Yaseen Siddiqui","Local Guide · 131 reviews · 74 photos","","","6 years ago","In the India top 5 name this college great education great placement engineering best college and compose","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUAiweaAkzCduCFXBSlPlJuBK2oLSXMdxQOKYHpW_-5mg=w54-h54-p-rp-mo-br100","Sushil Kumar Vashisht","1 review · 2 photos","","","a month ago","Nic bussines work","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX_5-CW-2TwjHn6KUUhRpkCG0GC6yiifeGkcNJZ95_Zog=w54-h54-p-rp-mo-br100","jhankar singh","6 reviews","","","a year ago","This is one of the best institute in Mumbai for engineering","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJO5MuQGYR6wgVYGXj1kF4eNrl0T-rvY_rH2WgRBYvi=w54-h54-p-rp-mo-br100","Mayank Mishra","15 reviews","","","a year ago","Best engineering and research institute. Greenary all around.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW96emmWGSg_JEXiXNbEja--Jb-yEiVKSKLLQRlkl8pzCA=w54-h54-p-rp-mo-br100","Manoj P.N.S","13 reviews","","","a year ago","One of the best premier Engineering institutes in India","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVr0vlH7dMhaZqbRetbVonarKzgv2Pl42kqhfK6Syu7uDN2=w54-h54-p-rp-mo-ba3-br100","Nadeem Khan","Local Guide · 20 reviews · 3 photos","","","a year ago","You want to do engineering...IIT Bombay is good choice","","","","","","","","Share","",""
